Altium Designer Pick and Place Locations
D:\1_Altium_Project\18_CAM_V130\SpaceLiin_CAM_V1.0.2_HW\01_DESIGN\Project Outputs for CAM_v130\Pick Place for CAM_SEN_V130.csv

========================================================================================================================
File Design Information:

Date:       09/02/26
Time:       17:00
Revision:   9d7fa19c2001ed56001372acfbc4ad0c1dfe8faf
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R8","4.7k","TopLayer","RES_C_1005X40","1.3000","22.0000","180","RES-Chip"
"TP1","","TopLayer","Testpoint_80_pin0","12.7000","6.5000","90","Test Point"
"R44","22R","TopLayer","RES_C_1005X40","24.9000","38.8000","0","RES-Chip"
"R43","22R","TopLayer","RES_C_1005X40","24.9000","39.7000","0","RES-Chip"
"TP6","","TopLayer","Testpoint_80_pin0","22.0000","10.4000","90","Test Point"
"TP5","","TopLayer","Testpoint_80_pin0","9.3000","29.2000","90","Test Point"
"TP4","","TopLayer","Testpoint_80_pin0","8.5000","42.4000","90","Test Point"
"TP3","","TopLayer","Testpoint_80_pin0","2.5000","34.7000","90","Test Point"
"TP2","","TopLayer","Testpoint_80_pin0","24.4000","41.8000","90","Test Point"
"C74","4.7uF/10V","TopLayer","CAP_MP_1608X90","5.3000","5.7000","90","CAP_Polarization"
"C15","0.22uF/16V","TopLayer","CAP_C_1005X60","3.8000","32.5972","270","CAP_Chip"
"U15","NCP139AFCT105T2G","TopLayer","WLCSP6","10.4000","43.6000","90",""
"C82","2.2uF/6.3V","TopLayer","CAP_C_1005X60","10.9000","45.3000","270","CAP_Chip"
"R42","22R","TopLayer","RES_C_1005X40","20.1000","32.3000","180","RES-Chip"
"R41","22R","TopLayer","RES_C_1005X40","20.1000","29.6000","180","RES-Chip"
"R40","22R","TopLayer","RES_C_1005X40","20.1000","28.7000","180","RES-Chip"
"R39","22R","TopLayer","RES_C_1005X40","20.1000","26.0000","180","RES-Chip"
"R38","4.7k","TopLayer","RES_C_1005X40","20.1000","31.4000","180","RES-Chip"
"R37","4.7k","TopLayer","RES_C_1005X40","20.1000","30.5000","180","RES-Chip"
"R36","4.7k","TopLayer","RES_C_1005X40","20.1000","27.8000","180","RES-Chip"
"R35","4.7k","TopLayer","RES_C_1005X40","20.1000","26.9000","180","RES-Chip"
"R34","4.7k","TopLayer","RES_C_1005X40","20.1000","25.1000","180","RES-Chip"
"R33","4.7k","TopLayer","RES_C_1005X40","20.1000","24.2000","180","RES-Chip"
"TP35","","TopLayer","Testpoint_80_pin0","4.1000","10.3000","90","Test Point"
"TP34","","TopLayer","Testpoint_80_pin0","0.9000","25.8000","90","Test Point"
"TP33","","TopLayer","Testpoint_80_pin0","25.7000","10.4000","90","Test Point"
"TP8","","TopLayer","Testpoint_80_pin0","15.0000","37.7000","90","Test Point"
"TP7","","TopLayer","Testpoint_80_pin0","13.9000","37.7000","90","Test Point"
"R32","330R","TopLayer","RES_C_1005X40","19.5000","13.8000","180","RES-Chip"
"R31","330R","TopLayer","RES_C_1005X40","16.4750","13.8000","0","RES-Chip"
"R30","1k","TopLayer","RES_C_1005X40","19.5000","11.3000","0","RES-Chip"
"DO3","LED_SMD","TopLayer","LED_0603","19.5000","12.6000","180",""
"DO2","LED_SMD","TopLayer","LED_0603","16.5000","12.6000","0",""
"DO1","LED_SMD","TopLayer","LED_0603","19.5000","10.1000","0",""
"R17","4.7k","TopLayer","RES_C_1005X40","8.5000","12.6600","180","RES-Chip"
"U18","PCA9544APW,118","TopLayer","SOP65P440W_20","19.7000","37.9000","0",""
"U17","TCA6416APWR","TopLayer","SOP65P440W-24N","14.7000","27.8000","0",""
"U16","TLV75518PDBVR","TopLayer","SOT25","17.1000","2.3000","180",""
"U14","TLV75528PDBVR","TopLayer","SOT25","8.2000","5.8000","180",""
"U13","TPS7A2024PDBVR","TopLayer","SOT25","15.2000","43.5000","180",""
"U12","TLV75733PDYDR","TopLayer","SOT25-EPAD","17.1000","6.2000","180",""
"R29","4.7k","TopLayer","RES_C_1005X40","15.3000","33.1000","270","RES-Chip"
"R28","22R","TopLayer","RES_C_1005X40","16.3000","33.1000","90","RES-Chip"
"R27","22R","TopLayer","RES_C_1005X40","17.2000","33.1000","90","RES-Chip"
"R26","4.7k","TopLayer","RES_C_1005X40","24.9000","37.9000","180","RES-Chip"
"R25","4.7k","TopLayer","RES_C_1005X40","12.9000","33.1000","270","RES-Chip"
"R24","4.7k","TopLayer","RES_C_1005X40","24.9000","36.7000","180","RES-Chip"
"R23","4.7k","TopLayer","RES_C_1005X40","6.7000","33.7000","90","RES-Chip"
"R22","4.7k","TopLayer","RES_C_1005X40","7.6000","33.7000","90","RES-Chip"
"R21","4.7k","TopLayer","RES_C_1005X40","24.9000","35.0000","180","RES-Chip"
"R20","4.7k","TopLayer","RES_C_1005X40","7.8250","26.2000","180","RES-Chip"
"R19","4.7k","TopLayer","RES_C_1005X40","4.8000","26.2000","0","RES-Chip"
"R18","4.7k","TopLayer","RES_C_1005X40","14.5000","36.7000","0","RES-Chip"
"R16","4.7k","TopLayer","RES_C_1005X40","8.5000","11.7000","180","RES-Chip"
"R15","4.7k","TopLayer","RES_C_1005X40","14.5000","39.1000","0","RES-Chip"
"R14","4.7k","TopLayer","RES_C_1005X40","7.9000","1.0000","90","RES-Chip"
"R13","4.7k","TopLayer","RES_C_1005X40","6.0000","1.0000","90","RES-Chip"
"R11","4.7k","TopLayer","RES_C_1005X40","26.5000","38.2000","90","RES"
"R9","4.7k","TopLayer","RES_C_1005X40","26.5000","40.4250","270","RES"
"R7","10k","TopLayer","RES_C_1005X40","20.8000","2.1000","0","RES-Chip"
"R6","10k","TopLayer","RES_C_1005X40","9.9000","45.3000","90","RES-Chip"
"R5","10k","TopLayer","RES_C_1005X40","10.6000","7.8000","0","RES-Chip"
"R4","10k","TopLayer","RES_C_1005X40","17.6000","45.6000","0","RES-Chip"
"R3","10k","TopLayer","RES_C_1005X40","18.3000","8.5000","0","RES-Chip"
"C81","0.22uF/16V","TopLayer","CAP_C_1005X60","24.9000","40.6000","180","CAP_Chip"
"C80","0.22uF/16V","TopLayer","CAP_C_1005X60","18.1000","33.1000","270","CAP_Chip"
"C79","0.22uF/16V","TopLayer","CAP_C_1005X60","14.1000","33.1000","270","CAP_Chip"
"C78","4.7uF/10V","TopLayer","CAP_MP_1608X90","14.3000","2.4000","90","CAP_Polarization"
"C77","4.7uF/10V","TopLayer","CAP_MP_1608X90","21.4000","0.9000","0","CAP_Polarization"
"C76","4.7uF/10V","TopLayer","CAP_MP_1608X90","8.5000","44.7000","90","CAP_Polarization"
"C75","4.7uF/10V","TopLayer","CAP_MP_1608X90","12.1000","44.7000","90","CAP_Polarization"
"C73","4.7uF/10V","TopLayer","CAP_MP_1608X90","11.1000","5.7000","90","CAP_Polarization"
"C72","4.7uF/10V","TopLayer","CAP_MP_1608X90","14.0000","40.6000","180","CAP_Polarization"
"C71","4.7uF/10V","TopLayer","CAP_MP_1608X90","18.1000","43.5000","90","CAP_Polarization"
"C70","4.7uF/10V","TopLayer","CAP_MP_1608X90","14.3000","6.3000","90","CAP_Polarization"
"C69","4.7uF/10V","TopLayer","CAP_MP_1608X90","21.4000","8.2000","0","CAP_Polarization"
"C68","0.22uF/16V","TopLayer","CAP_C_1005X60","1.5000","30.8000","0","CAP_Chip"
"C67","0.22uF/16V","TopLayer","CAP_C_1005X60","0.5000","42.4000","90","CAP_Chip"
"C66","0.22uF/16V","TopLayer","CAP_C_1005X60","0.6000","3.5000","90","CAP_Chip"
"C65","0.22uF/16V","TopLayer","CAP_C_1005X60","1.6000","16.4000","270","CAP_Chip"
"Y1","DSC1001DL5-027.0000T","TopLayer","OSCDFN250X200X89-4N","15.0000","9.6000","90",""
"U11","NL7SZ97DFT2G-Q","TopLayer","SC-88","1.8000","44.9000","0",""
"U10","NL7SZ97DFT2G-Q","TopLayer","SC-88","1.5000","28.7000","90",""
"U9","NL7SZ97DFT2G-Q","TopLayer","SC-88","1.6000","13.7000","90",""
"U8","NL7SZ97DFT2G-Q","TopLayer","SC-88","2.5000","5.7000","180",""
"R2","22R","TopLayer","RES_C_1005X40","17.1000","10.0000","270","RES-Chip"
"C64","0.22uF/16V","TopLayer","CAP_C_1005X60","12.9000","9.6000","270","CAP_Chip"
"U7","PI3WVR626XEBEX","TopLayer","PI3WVR626XEBEX_DIO_2","7.8300","39.1300","90","PI3WVR626XEBEX"
"U6","PI3WVR626XEBEX","TopLayer","PI3WVR626XEBEX_DIO_2","14.0000","16.6000","90","PI3WVR626XEBEX"
"U5","PI3WVR626XEBEX","TopLayer","PI3WVR626XEBEX_DIO_2","7.8300","17.1300","90","PI3WVR626XEBEX"
"C63","0.22uF/16V","TopLayer","CAP_C_1005X60","11.5000","41.6000","90","CAP_Chip"
"C62","0.22uF/16V","TopLayer","CAP_C_1005X60","5.5000","19.0000","0","CAP_Chip"
